
2025/01/17 (18:07:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/17 (18:07:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/17 (18:07:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (20:49:11) | ===> btop++ v.1.4.0
2025/01/17 (20:49:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (20:49:35) | ===> btop++ v.1.4.0
2025/01/17 (20:49:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (20:50:49) | ===> btop++ v.1.4.0
2025/01/17 (20:50:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (20:54:07) | ===> btop++ v.1.4.0
2025/01/17 (20:54:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (21:49:59) | ===> btop++ v.1.4.0
2025/01/17 (21:49:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (23:04:39) | ===> btop++ v.1.4.0
2025/01/17 (23:04:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (00:39:34) | ===> btop++ v.1.4.0
2025/01/18 (00:39:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/18 (00:39:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/18 (00:39:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (01:02:04) | ===> btop++ v.1.4.0
2025/01/18 (01:02:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/18 (01:02:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/18 (01:02:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (20:31:42) | ===> btop++ v.1.4.0
2025/01/21 (20:31:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/21 (20:31:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/21 (20:31:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (14:10:53) | ===> btop++ v.1.4.0
2025/01/23 (14:10:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/23 (14:10:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported
